動詞,自立,*,*,五段・サ行,未然形,滅ぼす,ホロボサ,ホロボサ	殺さ
名詞,一般,*,*,*,*,母親,ハハオヤ,ハハオヤ	母
名詞,非自立,副詞可能,*,*,*,ころ,コロ,コロ	頃
名詞,代名詞,一般,*,*,*,おまえ,オマエ,オマエ	あなた
名詞,副詞可能,*,*,*,*,あす,アス,アス	明日
動詞,自立,*,*,一段,基本形,恐れる,オソレル,オソレル	怖がる
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,振る舞う,フルマッ,フルマッ	し
動詞,自立,*,*,五段・ラ行特殊,命令ｉ,下さる,クダサイ,クダサイ	ください
名詞,数,*,*,*,*,一,イチ,イチ	１
名詞,一般,*,*,*,*,婦人,フジン,フジン	女性
動詞,自立,*,*,五段・ラ行,連用タ接続,召し上がる,メシアガッ,メシアガッ	食べ
名詞,数,*,*,*,*,２,ニ,ニ	二
動詞,自立,*,*,一段,連用形,目覚める,メザメ,メザメ	起き
動詞,自立,*,*,五段・ラ行,連用タ接続,無くなる,ナクナッ,ナクナッ	なくなっ
名詞,一般,*,*,*,*,セリフ,セリフ,セリフ	言葉
動詞,自立,*,*,一段,基本形,うける,ウケル,ウケル	受ける
名詞,形容動詞語幹,*,*,*,*,単純,タンジュン,タンジュン	簡単
名詞,代名詞,一般,*,*,*,君,キミ,キミ	あなた
名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ	誰
動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,下さる,クダサイ,クダサイ	ください
動詞,自立,*,*,五段・カ行イ音便,基本形,解く,トク,トク	答える
動詞,自立,*,*,五段・ラ行,未然形,劣る,オトラ,オトラ	負け
名詞,一般,*,*,*,*,職業,ショクギョウ,ショクギョー	仕事
名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ	全て
動詞,自立,*,*,一段,基本形,誉める,ホメル,ホメル	褒める
副詞,助詞類接続,*,*,*,*,まったく,マッタク,マッタク	全く
名詞,一般,*,*,*,*,用,ヨウ,ヨー	目的
名詞,一般,*,*,*,*,かばん,カバン,カバン	鞄
名詞,サ変接続,*,*,*,*,抗議,コウギ,コーギ	反対
動詞,自立,*,*,五段・ラ行,連用形,くもる,クモリ,クモリ	曇り
動詞,自立,*,*,五段・ラ行,基本形,のぼる,ノボル,ノボル	登る
動詞,自立,*,*,一段,未然形,見かける,ミカケ,ミカケ	見
形容詞,自立,*,*,形容詞・イ段,基本形,すずしい,スズシイ,スズシイ	涼しい
動詞,自立,*,*,五段・ワ行促音便,基本形,支払う,シハラウ,シハラウ	払う
動詞,自立,*,*,五段・サ行,基本形,だす,ダス,ダス	出す
副詞,助詞類接続,*,*,*,*,さっぱり,サッパリ,サッパリ	全く
名詞,代名詞,一般,*,*,*,わたし,ワタシ,ワタシ	私
動詞,自立,*,*,一段,命令ｒｏ,突き上げる,ツキアゲロ,ツキアゲロ	上げろ
名詞,一般,*,*,*,*,もと,モト,モト	元
名詞,副詞可能,*,*,*,*,いま,イマ,イマ	今
名詞,一般,*,*,*,*,パソコン,パソコン,パソコン	コンピューター
動詞,自立,*,*,五段・ラ行,連用タ接続,伝わる,ツタワッ,ツタワッ	流れ
動詞,自立,*,*,五段・ワ行促音便,連用形,振舞う,フルマイ,フルマイ	動き
形容詞,自立,*,*,形容詞・アウオ段,ガル接続,温かい,アタタカ,アタタカ	あたたか
動詞,自立,*,*,五段・サ行,連用形,捜す,サガシ,サガシ	探し
副詞,一般,*,*,*,*,めったに,メッタニ,メッタニ	ほとんど
動詞,自立,*,*,五段・ラ行,連用タ接続,もどる,モドッ,モドッ	戻っ
名詞,一般,*,*,*,*,代金,ダイキン,ダイキン	お金
名詞,一般,*,*,*,*,おしまい,オシマイ,オシマイ	ダメ
動詞,自立,*,*,一段,連用形,報じる,ホウジ,ホージ	知らせ
名詞,サ変接続,*,*,*,*,独学,ドクガク,ドクガク	自分
名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ	参加
動詞,自立,*,*,五段・ラ行,連用タ接続,立ち上がる,タチアガッ,タチアガッ	立っ
名詞,一般,*,*,*,*,休暇,キュウカ,キューカ	休み
名詞,数,*,*,*,*,三,サン,サン	３
名詞,副詞可能,*,*,*,*,あした,アシタ,アシタ	明日
名詞,副詞可能,*,*,*,*,すべて,スベテ,スベテ	全て
動詞,自立,*,*,五段・ラ行,連用形,おっしゃる,オッシャリ,オッシャリ	言い
動詞,自立,*,*,一段,連用形,あける,アケ,アケ	開け
副詞,助詞類接続,*,*,*,*,たいへん,タイヘン,タイヘン	とても
動詞,自立,*,*,一段,基本形,払える,ハラエル,ハラエル	払う
形容詞,自立,*,*,形容詞・アウオ段,基本形,おもしろい,オモシロイ,オモシロイ	面白い
副詞,助詞類接続,*,*,*,*,だんだん,ダンダン,ダンダン	日に日に
名詞,一般,*,*,*,*,となり,トナリ,トナリ	横
副詞,一般,*,*,*,*,じっくり,ジックリ,ジックリ	よく
動詞,自立,*,*,一段,連用形,たべる,タベ,タベ	食べ
動詞,非自立,*,*,一段,未然形,いける,イケ,イケ	なら
動詞,自立,*,*,五段・ラ行,連用タ接続,有る,アッ,アッ	あっ
名詞,数,*,*,*,*,二,ニ,ニ	２
動詞,自立,*,*,一段,連用形,閉める,シメ,シメ	閉じ
動詞,自立,*,*,五段・ラ行,連用形,召し上がる,メシアガリ,メシアガリ	食べ
動詞,自立,*,*,五段・マ行,未然形,すすむ,ススマ,ススマ	進ま
名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ	あなた
名詞,形容動詞語幹,*,*,*,*,駄目,ダメ,ダメ	ダメ
名詞,一般,*,*,*,*,スーパー,スーパー,スーパー	店
名詞,一般,*,*,*,*,友人,ユウジン,ユージン	友達
動詞,自立,*,*,五段・ラ行,基本形,つくる,ツクル,ツクル	作る
名詞,一般,*,*,*,*,生命,セイメイ,セイメイ	命
名詞,形容動詞語幹,*,*,*,*,入用,ニュウヨウ,ニューヨー	必要
名詞,一般,*,*,*,*,ヒザ,ヒザ,ヒザ	膝
形容詞,非自立,*,*,形容詞・イ段,基本形,ほしい,ホシイ,ホシイ	欲しい
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,のぞく,ノゾイ,ノゾイ	見
動詞,自立,*,*,五段・ラ行,連用形,かわる,カワリ,カワリ	変わり
動詞,非自立,*,*,一段,未然形,える,エ,エ	得
名詞,サ変接続,*,*,*,*,手入れ,テイレ,テイレ	整備
名詞,サ変接続,*,*,*,*,専念,センネン,センネン	集中
名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ	時
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,暖かい,アタタカク,アタタカク	あたたかく
動詞,自立,*,*,一段,連用形,しめる,シメ,シメ	閉じ
副詞,一般,*,*,*,*,きわめて,キワメテ,キワメテ	とても
名詞,一般,*,*,*,*,子ども,コドモ,コドモ	子供
動詞,自立,*,*,一段,連用形,果てる,ハテ,ハテ	切っ
名詞,接尾,助数詞,*,*,*,日間,ニチカン,ニチカン	日
名詞,ナイ形容詞語幹,*,*,*,*,ちがい,チガイ,チガイ	違い
名詞,代名詞,一般,*,*,*,貴方,アナタ,アナタ	あなた
名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ	友達
名詞,一般,*,*,*,*,眺め,ナガメ,ナガメ	景色
名詞,代名詞,一般,*,*,*,何処,ドコ,ドコ	どこ
名詞,一般,*,*,*,*,タバコ,タバコ,タバコ	煙草
名詞,形容動詞語幹,*,*,*,*,軽率,ケイソツ,ケイソツ	簡単
名詞,一般,*,*,*,*,手段,シュダン,シュダン	方法
名詞,サ変接続,*,*,*,*,爆撃,バクゲキ,バクゲキ	攻撃
名詞,一般,*,*,*,*,答案,トウアン,トーアン	答え
名詞,一般,*,*,*,*,いなか,イナカ,イナカ	地方
名詞,一般,*,*,*,*,叔父,オジ,オジ	おじ
動詞,自立,*,*,五段・ラ行,連用タ接続,迫る,セマッ,セマッ	近づい
名詞,一般,*,*,*,*,田舎,イナカ,イナカ	地方
動詞,自立,*,*,一段,連用形,見つめる,ミツメ,ミツメ	見
形容詞,自立,*,*,形容詞・イ段,連用タ接続,うれしい,ウレシカッ,ウレシカッ	嬉しかっ
動詞,自立,*,*,一段,未然形,ほめる,ホメ,ホメ	褒め
副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン	全く
名詞,一般,*,*,*,*,誤り,アヤマリ,アヤマリ	間違い
名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ	実行
名詞,サ変接続,*,*,*,*,援助,エンジョ,エンジョ	協力
形容詞,自立,*,*,形容詞・イ段,連用テ接続,やさしい,ヤサシク,ヤサシク	優しく
名詞,非自立,副詞可能,*,*,*,かぎり,カギリ,カギリ	限り
名詞,形容動詞語幹,*,*,*,*,幸福,コウフク,コーフク	幸せ
副詞,一般,*,*,*,*,恐ろしく,オソロシク,オソロシク	とても
副詞,一般,*,*,*,*,なんて,ナンテ,ナンテ	なんと
動詞,自立,*,*,五段・ラ行,連用タ接続,詰まる,ツマッ,ツマッ	困っ
動詞,自立,*,*,一段,未然ウ接続,ふれる,フレヨ,フレヨ	触れよ
名詞,非自立,一般,*,*,*,ほう,ホウ,ホー	方
名詞,一般,*,*,*,*,生徒,セイト,セイト	学生
名詞,サ変接続,*,*,*,*,整頓,セイトン,セイトン	整理
名詞,形容動詞語幹,*,*,*,*,空っぽ,カラッポ,カラッポ	空
名詞,一般,*,*,*,*,赤ん坊,アカンボウ,アカンボー	赤ちゃん
名詞,一般,*,*,*,*,そいつ,ソイツ,ソイツ	それ
副詞,助詞類接続,*,*,*,*,ぐっすり,グッスリ,グッスリ	よく
名詞,一般,*,*,*,*,人格,ジンカク,ジンカク	性格
動詞,自立,*,*,一段,連用形,聞き取れる,キキトレ,キキトレ	聞こえ
名詞,一般,*,*,*,*,朝飯前,アサメシマエ,アサメシマエ	簡単
動詞,自立,*,*,五段・ラ行,連用タ接続,治まる,オサマッ,オサマッ	止まっ
動詞,自立,*,*,五段・ラ行,連用タ接続,ゆずる,ユズッ,ユズッ	あげ
名詞,副詞可能,*,*,*,*,きのう,キノウ,キノー	昨日
名詞,一般,*,*,*,*,二つ,フタツ,フタツ	２つ
動詞,自立,*,*,五段・カ行イ音便,未然形,招く,マネカ,マネカ	呼ば
動詞,自立,*,*,五段・ラ行,基本形,しゃべる,シャベル,シャベル	話す
名詞,形容動詞語幹,*,*,*,*,愚か,オロカ,オロカ	馬鹿
名詞,代名詞,一般,*,*,*,きみ,キミ,キミ	あなた
名詞,サ変接続,*,*,*,*,うわさ,ウワサ,ウワサ	話
名詞,一般,*,*,*,*,履歴,リレキ,リレキ	過去
動詞,自立,*,*,サ変・スル,文語基本形,する,ス,ス	する
動詞,自立,*,*,五段・ラ行,未然ウ接続,眠る,ネムロ,ネムロ	寝よ
名詞,サ変接続,*,*,*,*,専心,センシン,センシン	集中
名詞,接尾,一般,*,*,*,どおり,ドオリ,ドーリ	通り
名詞,一般,*,*,*,*,イヤ,イヤ,イヤ	嫌
名詞,非自立,副詞可能,*,*,*,とおり,トオリ,トーリ	通り
名詞,代名詞,一般,*,*,*,オレ,オレ,オレ	私
名詞,一般,*,*,*,*,個性,コセイ,コセイ	特徴
動詞,自立,*,*,五段・カ行イ音便,基本形,聴く,キク,キク	聞く
名詞,接尾,一般,*,*,*,しだい,シダイ,シダイ	次第
名詞,副詞可能,*,*,*,*,先程,サキホド,サキホド	先ほど
動詞,自立,*,*,一段,連用形,くじける,クジケ,クジケ	なくなっ
動詞,自立,*,*,一段,連用形,出迎える,デムカエ,デムカエ	迎え
動詞,自立,*,*,五段・サ行,連用形,さらす,サラシ,サラシ	出し
動詞,自立,*,*,一段,連用形,たてる,タテ,タテ	立て
副詞,助詞類接続,*,*,*,*,すこし,スコシ,スコシ	少し
動詞,自立,*,*,五段・ワ行促音便,基本形,あう,アウ,アウ	合う
名詞,サ変接続,*,*,*,*,しっくり,シックリ,シックリ	安定
動詞,自立,*,*,五段・ラ行,未然ウ接続,がんばる,ガンバロ,ガンバロ	頑張ろ
